0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,7,7,7,7,7,7,7,7,7,7,7,7,7,4
10,13,17,14,100,13,14,100,13,14,100,13,17,14,8
10,16,19,15,100,16,15,100,16,15,100,16,19,15,8
10,100,100,100,100,100,100,100,100,100,100,100,100,100,8
1,11,100,13,17,17,14,100,13,17,17,14,100,12,1
100,100,100,20,0,0,18,100,20,0,0,18,100,100,100
1,11,100,16,19,19,15,100,16,19,19,15,100,12,1
10,100,100,100,100,100,100,100,100,100,100,100,100,100,8
10,13,17,14,100,13,14,100,13,14,100,13,17,14,8
10,16,19,15,100,16,15,100,16,15,100,16,19,15,8
6,9,9,9,9,9,9,9,9,9,9,9,9,9,5
